"overlap","area_a_gaps","area_b_gaps","area_change","CHM1_mean","CHM2_mean","gap_volume_a_gaps","gap_volume_b_gaps","gap_volume_change","height_growth","Plot_id"
"New gap",0,547.25,547.25,19.1518130940681,6.61740465020414,0,3621.37469482422,3621.37469482422,-12.534408443864,100
"Persistent gap",719.25,719.25,0,6.12482195427569,6.27727557073916,4405.27819061279,4514.93045425414,109.652263641348,0.152453616463466,100
"Recovered gap",804.5,0,-804.5,7.01031197784405,17.6997557711794,5639.79598617554,0,-5639.79598617554,10.6894437933353,100
"Intact canopy",0,0,0,31.9693377217655,34.7812673841735,0,0,0,2.81192966240807,66
"New gap",0,348.5,348.5,22.6232043119893,5.69572211201256,0,1984.95915603638,1984.95915603638,-16.9274821999767,66
"Persistent gap",345,345,0,4.95453380640001,5.46060590882232,1709.314163208,1883.9090385437,174.594875335697,0.506072102422308,66
"Recovered gap",418.75,0,-418.75,5.59694183805096,21.4045360690444,2343.71939468384,0,-2343.71939468384,15.8075942309935,66
"Intact canopy",0,0,0,31.2836925534028,32.5468915899595,0,0,0,1.26319903655668,96
"New gap",0,383.5,383.5,22.5881656214031,6.58313939220125,0,2524.63395690918,2524.63395690918,-16.0050262292019,96
"Persistent gap",344.25,344.25,0,5.28169568518235,6.27938685420637,1818.22373962402,2161.67892456054,343.45518493652,0.997691169024023,96
"Recovered gap",376.25,0,-376.25,6.96278783855248,17.8132133205072,2619.74892425537,0,-2619.74892425537,10.8504254819547,96
"Intact canopy",0,0,0,26.5117516657421,29.2353339683619,0,0,0,2.72358230261978,14
"New gap",0,156,156,21.2715432338226,6.76870641952906,0,1055.91820144653,1055.91820144653,-14.5028368142935,14
"Persistent gap",116.25,116.25,0,5.71600528840096,7.2975095359228,664.485614776611,848.335483551025,183.849868774414,1.58150424752184,14
"Recovered gap",478.25,0,-478.25,7.0708047295514,16.7225190245912,3381.61236190796,0,-3381.61236190796,9.65171429503981,14
"Intact canopy",0,0,0,30.1686717671672,32.1224844657629,0,0,0,1.95381269859565,35
"New gap",0,297.75,297.75,20.0164183545373,5.20908884197398,0,1551.00620269775,1551.00620269775,-14.8073295125633,35
"Persistent gap",697.5,697.5,0,4.11328711287522,4.18703623125631,2869.01776123047,2920.45777130127,51.4400100708085,0.0737491183810874,35
"Recovered gap",516.5,0,-516.5,5.67731257952886,21.2992195949204,2932.33194732666,0,-2932.33194732666,15.6219070153915,35
"Intact canopy",0,0,0,28.2113103498679,29.2484582259952,0,0,0,1.03714787612728,30
"New gap",0,439.75,439.75,19.1146094152506,6.54791241548765,0,2879.44448471069,2879.44448471069,-12.5666969997629,30
"Persistent gap",858.5,858.5,0,4.87038867308359,4.84117205113816,4181.22867584226,4156.14620590211,-25.0824699401546,-0.0292166219454337,30
"Recovered gap",267,0,-267,6.92246722103504,18.7681223122815,1848.29874801636,0,-1848.29874801636,11.8456550912464,30
"Intact canopy",0,0,0,30.6905844436778,32.5587820714231,0,0,0,1.86819762774529,25
"New gap",0,737.25,737.25,17.9254408170508,6.34652941248788,0,4678.97880935669,4678.97880935669,-11.5789114045629,25
"Persistent gap",1086.75,1086.75,0,6.1696368406799,5.4992642118543,6704.85283660888,5976.32538223267,-728.527454376214,-0.670372628825594,25
"Recovered gap",463.25,0,-463.25,6.73291391124612,19.9451691925494,3119.02236938477,0,-3119.02236938477,13.2122552813032,25
"Intact canopy",0,0,0,32.6162214598178,33.2345597303383,0,0,0,0.618338270520518,56
"New gap",0,481.25,481.25,24.2495905175148,6.10710213797432,0,2939.04290390014,2939.04290390014,-18.1424883795404,56
"Persistent gap",554.75,554.75,0,5.73785179657354,6.27411569438039,3183.07328414917,3480.56568145752,297.49239730835,0.536263897806849,56
"Recovered gap",546.5,0,-546.5,6.70696807889249,18.3654770637366,3665.35805511475,0,-3665.35805511475,11.6585089848441,56
"Intact canopy",0,0,0,30.449905066856,32.1721558947475,0,0,0,1.72225082789147,54
"New gap",0,460.25,460.25,22.4670407338223,6.42856686999783,0,2958.7479019165,2958.7479019165,-16.0384738638244,54
"Persistent gap",522.25,522.25,0,5.99229444300175,5.53998200091065,3129.47577285767,2893.25559997559,-236.220172882078,-0.452312442091102,54
"Recovered gap",620.25,0,-620.25,6.27605647033667,20.828099236571,3892.72402572632,0,-3892.72402572632,14.5520427662343,54
"Intact canopy",0,0,0,28.7826460859876,31.1201936081403,0,0,0,2.33754752215273,40
"New gap",0,111,111,24.2689683244035,6.52189591553834,0,723.930446624756,723.930446624756,-17.7470724088652,40
"Persistent gap",81.5,81.5,0,5.6278570444306,7.05123129066514,458.670349121094,574.675350189209,116.005001068115,1.42337424623454,40
"Recovered gap",547.75,0,-547.75,6.52032375988597,17.5697257295693,3571.50733947754,0,-3571.50733947754,11.0494019696833,40
"Intact canopy",0,0,0,30.2747331985239,31.2770991621125,0,0,0,1.00236596358865,50
"New gap",0,422,422,25.6249990689246,5.92034299226732,0,2498.38474273681,2498.38474273681,-19.7046560766573,50
"Persistent gap",359,359,0,3.91128634609553,4.86570843879892,1404.15179824829,1746.78932952881,342.637531280517,0.954422092703391,50
"Recovered gap",398.25,0,-398.25,5.07986703071666,19.3949515228367,2023.05704498291,0,-2023.05704498291,14.31508449212,50
"Intact canopy",0,0,0,29.000293443011,31.1300612922794,0,0,0,2.12976784926846,85
"New gap",0,292,292,17.5771362487584,6.51902818026608,0,1903.5562286377,1903.5562286377,-11.0581080684923,85
"Persistent gap",204.5,204.5,0,6.6429141168198,6.2839407512786,1358.47593688965,1285.06588363647,-73.4100532531743,-0.358973365541194,85
"Recovered gap",464,0,-464,6.8582910669261,16.712687451264,3182.24705505371,0,-3182.24705505371,9.85439638433786,85
"Intact canopy",0,0,0,28.7674831965809,30.1874692582032,0,0,0,1.41998606162224,91
"New gap",0,521.5,521.5,25.2613846220198,6.23885812878265,0,3253.56451416015,3253.56451416015,-19.0225264932371,91
"Persistent gap",249.5,249.5,0,5.48859151714073,6.03521425786144,1369.40358352661,1505.78595733643,136.382373809816,0.546622740720704,91
"Recovered gap",326.5,0,-326.5,6.6638557585969,16.3781432521288,2175.74890518189,0,-2175.74890518189,9.71428749353194,91
"Intact canopy",0,0,0,27.894630004545,30.1990397644906,0,0,0,2.30440975994559,110
"New gap",0,453.5,453.5,18.0938358664381,6.23363197099544,0,2826.95209884643,2826.95209884643,-11.8602038954427,110
"Persistent gap",832.75,832.75,0,5.6505537763153,5.71901990328779,4705.49865722657,4762.51382446291,57.0151672363436,0.0684661269724938,110
"Recovered gap",515,0,-515,6.62002393852158,18.0626017301985,3409.31232833861,0,-3409.31232833861,11.442577791677,110
"Intact canopy",0,0,0,31.042817684553,32.7804514574898,0,0,0,1.73763377293684,120
"New gap",0,382.25,382.25,20.6513653412764,6.32511294098598,0,2417.77442169189,2417.77442169189,-14.3262524002904,120
